file_name,source_modality,source_subject,target_modality,target_subject,split,evaluation_scope,shared_group,shared_only,candidate_count,source_checkpoint,target_checkpoint,forward_label,forward_reference_mode,forward_reference_two_way,forward_scope_reference_two_way,forward_full_reference_two_way,forward_top1,forward_top5,forward_two_way,forward_normalized_two_way,forward_normalized_two_way_full,reverse_label,reverse_reference_mode,reverse_reference_two_way,reverse_scope_reference_two_way,reverse_full_reference_two_way,reverse_top1,reverse_top5,reverse_two_way,reverse_normalized_two_way,reverse_normalized_two_way_full
eeg_sub01_to_meg_sub01_test.txt,eeg,1,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub01_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,1.0,7.0,69.01,0.9118657505285412,nan,meg_to_eeg,matched_scope,83.9,83.9,nan,1.5,9.0,69.59,0.8294398092967818,nan
eeg_sub01_to_meg_sub02_test.txt,eeg,1,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub01_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,4.0,17.0,79.04,0.9354953248905197,nan,meg_to_eeg,matched_scope,83.9,83.9,nan,3.0,16.5,79.28,0.9449344457687723,nan
eeg_sub01_to_meg_sub03_test.txt,eeg,1,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub01_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,eeg_to_meg,matched_scope,81.08,81.08,nan,0.5,10.5,78.14,0.963739516526887,nan,meg_to_eeg,matched_scope,83.9,83.9,nan,2.0,11.5,76.93,0.9169249106078665,nan
eeg_sub01_to_meg_sub04_test.txt,eeg,1,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub01_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,eeg_to_meg,matched_scope,67.3,67.3,nan,1.5,5.0,66.78,0.9922734026745914,nan,meg_to_eeg,matched_scope,83.9,83.9,nan,2.0,5.5,67.01,0.798688915375447,nan
eeg_sub02_to_meg_sub01_test.txt,eeg,2,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub02_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,2.0,7.0,68.2,0.9011627906976744,nan,meg_to_eeg,matched_scope,85.41,85.41,nan,3.0,9.5,69.44,0.8130195527455801,nan
eeg_sub02_to_meg_sub02_test.txt,eeg,2,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub02_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,2.0,14.5,77.48,0.9170316013729436,nan,meg_to_eeg,matched_scope,85.41,85.41,nan,2.0,15.5,77.18,0.9036412598056435,nan
eeg_sub02_to_meg_sub03_test.txt,eeg,2,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub02_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,eeg_to_meg,matched_scope,81.08,81.08,nan,3.0,14.0,76.6,0.9447459299457326,nan,meg_to_eeg,matched_scope,85.41,85.41,nan,2.0,15.0,76.24,0.892635522772509,nan
eeg_sub02_to_meg_sub04_test.txt,eeg,2,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub02_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,eeg_to_meg,matched_scope,67.3,67.3,nan,2.0,4.5,65.25,0.9695393759286776,nan,meg_to_eeg,matched_scope,85.41,85.41,nan,2.5,9.0,65.22,0.763610818405339,nan
eeg_sub03_to_meg_sub01_test.txt,eeg,3,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub03_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,1.0,9.0,67.96,0.8979915433403803,nan,meg_to_eeg,matched_scope,87.79,87.79,nan,2.5,8.5,68.51,0.7803850096821962,nan
eeg_sub03_to_meg_sub02_test.txt,eeg,3,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub03_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,3.5,12.5,80.29,0.9502899751449877,nan,meg_to_eeg,matched_scope,87.79,87.79,nan,5.0,15.5,80.83,0.9207198997607927,nan
