file_name,modality,subject,split,evaluation_scope,shared_group,shared_only,candidate_count,checkpoint,baseline_top1_pct,baseline_top5_pct,retrieval_dataset_size,number_of_classes,m2i_top1,m2i_top5,m2i_two_way,i2m_top1,i2m_top5,i2m_two_way
evaluation_sub01_test.txt,eeg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub01_best.pt,0.5,2.5,200,200,11.0,22.0,83.9,8.0,20.0,75.66
evaluation_sub02_test.txt,eeg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub02_best.pt,0.5,2.5,200,200,8.5,28.5,85.41,10.5,27.5,83.92
evaluation_sub03_test.txt,eeg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub03_best.pt,0.5,2.5,200,200,11.0,29.5,87.79,8.0,21.0,79.76
evaluation_sub04_test.txt,eeg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub04_best.pt,0.5,2.5,200,200,12.5,29.0,87.87,9.0,22.5,84.11
evaluation_sub05_test.txt,eeg,5,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub05_best.pt,0.5,2.5,200,200,7.0,24.0,79.07,2.5,12.5,73.93
evaluation_sub06_test.txt,eeg,6,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub06_best.pt,0.5,2.5,200,200,9.5,33.5,87.95,6.5,20.5,81.06
evaluation_sub07_test.txt,eeg,7,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub07_best.pt,0.5,2.5,200,200,9.0,25.5,86.03,8.0,21.5,83.58
evaluation_sub08_test.txt,eeg,8,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub08_best.pt,0.5,2.5,200,200,14.5,41.0,89.51,5.0,21.0,81.68
evaluation_sub09_test.txt,eeg,9,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub09_best.pt,0.5,2.5,200,200,8.0,25.5,82.37,6.0,19.5,74.72
evaluation_sub10_test.txt,eeg,10,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub10_best.pt,0.5,2.5,200,200,15.0,39.5,91.66,10.5,34.0,88.51
evaluation_sub01_test.txt,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,0.5,2.5,200,200,3.5,13.5,75.68,2.0,10.5,70.92
evaluation_sub02_test.txt,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,0.5,2.5,200,200,12.0,31.0,84.49,8.5,26.0,79.37
evaluation_sub03_test.txt,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,0.5,2.5,200,200,4.0,19.0,81.08,5.0,14.0,78.5
evaluation_sub04_test.txt,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,0.5,2.5,200,200,2.0,9.5,67.3,3.5,10.0,63.41
