file_name,source_modality,source_subject,target_modality,target_subject,split,evaluation_scope,shared_group,shared_only,candidate_count,source_checkpoint,target_checkpoint,forward_label,forward_reference_mode,forward_reference_two_way,forward_scope_reference_two_way,forward_full_reference_two_way,forward_top1,forward_top5,forward_two_way,forward_normalized_two_way,forward_normalized_two_way_full,reverse_label,reverse_reference_mode,reverse_reference_two_way,reverse_scope_reference_two_way,reverse_full_reference_two_way,reverse_top1,reverse_top5,reverse_two_way,reverse_normalized_two_way,reverse_normalized_two_way_full
eeg_sub01_to_fmri_sub01_test.txt,eeg,1,fmri,1,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub01_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub01_best.pt,eeg_to_fmri,matched_scope,74.69,74.69,95.76,1.5,5.0,65.85,0.8816441290668094,0.68765664160401,fmri_to_eeg,matched_scope,68.79,68.79,87.77,1.0,4.5,66.77,0.9706352667538884,0.760738293266492
eeg_sub01_to_fmri_sub02_test.txt,eeg,1,fmri,2,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub01_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub02_best.pt,eeg_to_fmri,matched_scope,69.52,69.52,93.55,0.5,5.0,59.85,0.86090333716916,0.6397648316408339,fmri_to_eeg,matched_scope,68.79,68.79,87.77,1.0,5.5,59.12,0.8594272423317342,0.6735786715278569
eeg_sub01_to_fmri_sub03_test.txt,eeg,1,fmri,3,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub01_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub03_best.pt,eeg_to_fmri,matched_scope,69.24,69.24,92.31,1.0,2.5,60.22,0.8697284806470249,0.6523670241577294,fmri_to_eeg,matched_scope,68.79,68.79,87.77,0.5,3.5,59.77,0.8688762901584532,0.6809843910219894
eeg_sub02_to_fmri_sub01_test.txt,eeg,2,fmri,1,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub02_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub01_best.pt,eeg_to_fmri,matched_scope,74.69,74.69,95.76,1.0,3.5,51.51,0.689650555629937,0.537907268170426,fmri_to_eeg,matched_scope,48.1,48.1,90.33,0.5,3.5,51.44,1.0694386694386693,0.5694675080261264
eeg_sub02_to_fmri_sub02_test.txt,eeg,2,fmri,2,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub02_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub02_best.pt,eeg_to_fmri,matched_scope,69.52,69.52,93.55,0.5,3.5,50.5,0.726409666283084,0.5398182789951897,fmri_to_eeg,matched_scope,48.1,48.1,90.33,0.0,1.5,50.65,1.053014553014553,0.5607217978523192
eeg_sub02_to_fmri_sub03_test.txt,eeg,2,fmri,3,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub02_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub03_best.pt,eeg_to_fmri,matched_scope,69.24,69.24,92.31,0.5,2.0,50.82,0.7339688041594454,0.5505362365940851,fmri_to_eeg,matched_scope,48.1,48.1,90.33,0.0,3.5,51.05,1.0613305613305613,0.5651500055352596
eeg_sub03_to_fmri_sub01_test.txt,eeg,3,fmri,1,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub03_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub01_best.pt,eeg_to_fmri,matched_scope,74.69,74.69,95.76,2.0,6.5,62.85,0.8414781095193467,0.656328320802005,fmri_to_eeg,matched_scope,66.49,66.49,90.28,2.5,5.5,62.67,0.9425477515415853,0.6941736818786
eeg_sub03_to_fmri_sub02_test.txt,eeg,3,fmri,2,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub03_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub02_best.pt,eeg_to_fmri,matched_scope,69.52,69.52,93.55,0.5,4.5,59.51,0.8560126582278481,0.6361304115446286,fmri_to_eeg,matched_scope,66.49,66.49,90.28,2.0,6.0,58.69,0.8826891261843887,0.6500886132033673
eeg_sub03_to_fmri_sub03_test.txt,eeg,3,fmri,3,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub03_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub03_best.pt,eeg_to_fmri,matched_scope,69.24,69.24,92.31,1.0,5.0,59.89,0.8649624494511844,0.648792113530495,fmri_to_eeg,matched_scope,66.49,66.49,90.28,1.5,6.5,58.95,0.8865994886449091,0.6529685423128047
eeg_sub04_to_fmri_sub01_test.txt,eeg,4,fmri,1,test,pair,shared-eeg-fmri,True,200,checkpoints\conversion\shared-eeg-fmri\eeg\eeg_brainalign_sub04_best.pt,checkpoints\conversion\shared-eeg-fmri\fmri\fmri_brainalign_sub01_best.pt,eeg_to_fmri,matched_scope,74.69,74.69,95.76,5.0,7.0,64.41,0.8623644396840273,0.6726190476190476,fmri_to_eeg,matched_scope,65.75,65.75,93.15,2.0,9.5,65.25,0.9923954372623575,0.7004830917874396
