modality,split,evaluation_scope,shared_group,shared_only,count,m2i_top1_mean,m2i_top1_std,m2i_top1_min,m2i_top1_max,m2i_top5_mean,m2i_top5_std,m2i_top5_min,m2i_top5_max,m2i_two_way_mean,m2i_two_way_std,m2i_two_way_min,m2i_two_way_max,baseline_top1_pct_mean,baseline_top1_pct_std,baseline_top1_pct_min,baseline_top1_pct_max,baseline_top5_pct_mean,baseline_top5_pct_std,baseline_top5_pct_min,baseline_top5_pct_max,retrieval_dataset_size_mean,retrieval_dataset_size_std,retrieval_dataset_size_min,retrieval_dataset_size_max,number_of_classes_mean,number_of_classes_std,number_of_classes_min,number_of_classes_max,i2m_top1_mean,i2m_top1_std,i2m_top1_min,i2m_top1_max,i2m_top5_mean,i2m_top5_std,i2m_top5_min,i2m_top5_max,i2m_two_way_mean,i2m_two_way_std,i2m_two_way_min,i2m_two_way_max
eeg,test,full,none,False,10,12.95,3.2898,8.5,20.5,39.35,7.6976,28.5,55.0,90.569,2.1207,86.82,93.98,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,22.45,4.8603,16.0,33.0,53.0,7.9781,41.5,72.5,93.703,1.6724,90.95,97.03
eeg,test,pair,shared-eeg-fmri,True,10,2.95,1.7241,0.5,6.0,10.3,5.7018,2.0,21.5,68.982,9.2405,48.1,83.84,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,2.8,2.2271,0.0,6.5,12.35,6.8522,3.5,27.5,69.687,9.6025,49.02,85.59
eeg,test,pair,shared-eeg-meg,True,10,11.0,3.6742,6.5,18.0,30.75,4.7815,23.0,38.0,87.179,2.6142,81.53,91.43,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,12.1,2.498,8.5,16.5,35.45,7.5679,20.5,48.5,88.955,2.9582,82.21,93.63
eeg,test,three_way,shared-eeg-fmri-meg,True,10,2.75,1.75,1.0,5.5,9.85,7.335,1.0,24.0,68.444,10.604,47.44,84.43,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,2.35,2.1915,0.5,8.0,9.9,7.4256,1.5,25.5,69.19,11.1896,47.2,85.56
fmri,test,full,none,False,3,33.3333,6.5997,26.0,42.0,67.6667,5.4365,60.0,72.0,93.8733,1.4269,92.31,95.76,1.0,0.0,1.0,1.0,5.0,0.0,5.0,5.0,100,0.0,100,100,100,0.0,100,100,33.6667,3.2998,30.0,38.0,66.0,6.532,58.0,74.0,94.2,1.3426,92.72,95.97
fmri,test,pair,shared-eeg-fmri,True,3,4.1667,1.3123,3.0,6.0,11.5,3.4881,7.0,15.5,71.15,2.5058,69.24,74.69,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,2.5,1.0801,1.0,3.5,11.0,2.6771,8.0,14.5,71.8167,2.3091,70.08,75.08
fmri,test,pair,shared-fmri-meg,True,3,2.8333,0.8498,2.0,4.0,11.3333,1.4337,9.5,13.0,74.4867,2.8548,71.7,78.41,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,2.5,0.4082,2.0,3.0,12.3333,1.3123,10.5,13.5,74.9433,3.1532,71.62,79.18
fmri,test,three_way,shared-eeg-fmri-meg,True,3,2.1667,1.4337,0.5,4.0,11.1667,2.7789,8.5,15.0,71.47,2.4025,69.26,74.81,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,3.8333,2.2485,2.0,7.0,13.3333,1.8409,11.0,15.5,71.96,2.2582,69.81,75.08
meg,test,full,none,False,4,8.0,4.0774,3.5,13.0,25.125,11.0362,12.5,38.0,82.9525,5.2426,77.6,88.63,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,10.125,4.3499,5.0,16.5,27.25,11.322,14.5,39.5,83.7125,5.3587,78.36,89.55
meg,test,pair,shared-eeg-meg,True,4,6.875,2.987,2.5,10.5,21.375,8.8768,12.5,34.5,78.9525,7.1719,70.62,88.35,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,7.5,3.7249,3.0,13.0,22.375,8.2793,14.0,34.5,79.1125,7.5039,69.97,88.38
meg,test,pair,shared-fmri-meg,True,4,2.875,1.5562,1.5,5.5,8.375,6.397,2.0,19.0,65.475,8.1591,54.38,76.65,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,2.125,1.8157,0.0,5.0,8.75,7.0755,2.5,20.5,66.5825,8.7512,55.15,79.05
meg,test,three_way,shared-eeg-fmri-meg,True,4,1.875,1.4737,0.5,4.0,7.375,3.5947,2.0,12.0,59.905,4.8381,52.46,65.83,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,2.25,0.9014,1.0,3.5,6.625,2.0117,3.5,9.0,60.6125,4.9502,52.95,66.68
